Countries and areas,Year,Latitude ,Longitude,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,% of GDP,Completion_Rate_Primary_Total,Completion_Rate_Lower_Secondary_Total,Completion_Rate_Upper_Secondary_Total,Youth_Literacy_Rate_Total,Gender_Parity_Primary,Gender_Parity_Lower_Secondary,Gender_Parity_Upper_Secondary
Saint Vincent and the Grenadines,2021,12.984305,61.287228,0,0,0,0,0,0,0,0,113.4,23.7,3.1,0,0,0,0,0,0,0
Samoa,2021,13.759029,172.104629,0,0,0,0,0,0,99,99,110.5,7.6,3.7,0,0,0,198,0,0,0
San Marino,2021,43.94236,12.457777,0,0,0,0,0,0,100,100,108.1,42.5,3.1,0,0,0,200,0,0,0
Saudi Arabia,2021,23.885942,45.079162,0,0,0,0,0,0,0,0,99.8,68,2.6,0,0,0,0,0,0,0
Senegal,2021,14.497401,14.452362,44,50,27,30,11,10,0,0,81,12.8,3.8,94,57,21,0,1.136363636,1.111111111,0.909090909
Serbia,2021,44.016521,21.005859,99,100,99,99,71,81,0,0,100.3,67.2,5.8,199,198,152,0,1.01010101,1,1.14084507
Seychelles,2021,4.679574,55.491977,0,0,0,0,0,0,99,100,100.4,17.1,4.1,0,0,0,199,0,0,0
Sierra Leone,2021,8.460555,11.779889,63,65,47,42,27,18,71,63,112.8,2,3.2,128,89,45,134,1.031746032,0.893617021,0.666666667
Slovakia,2021,48.669026,19.699024,0,0,0,0,0,0,0,0,98.7,46.6,5.1,0,0,0,0,0,0,0
Slovenia,2021,46.151241,14.995463,0,0,0,0,0,0,0,0,100.4,78.6,4.8,0,0,0,0,0,0,0
Solomon Islands,2021,9.64571,160.156194,0,0,0,0,0,0,0,0,106.2,0,4,0,0,0,0,0,0,0
Somalia,2021,5.152149,46.199616,0,0,0,0,0,0,0,0,23.4,2.5,4.4,0,0,0,0,0,0,0
South Africa,2021,30.559482,22.937506,95,98,85,91,45,52,0,0,100.9,22.4,4.6,193,176,97,0,1.031578947,1.070588235,1.155555556
South Korea,2021,35.907757,127.766922,0,0,0,0,0,0,0,0,98.1,94.3,2.9,0,0,0,0,0,0,0
South Sudan,2021,6.8769919,31.3069788,31,18,22,10,12,4,48,47,73,0,3.9,49,32,16,95,0.580645161,0.454545455,0.333333333
Spain,2021,40.463667,3.74922,0,0,0,0,0,0,100,100,102.7,88.9,4.8,0,0,0,200,0,0,0
Sri Lanka,2021,7.873054,80.771797,99,99,94,96,32,43,99,99,100.2,19.6,7.3,198,190,75,198,1,1.021276596,1.34375
Sweden,2021,60.128161,18.643501,0,0,0,0,0,0,0,0,126.6,67,6.2,0,0,0,0,0,0,0
Switzerland,2021,46.818188,8.227512,0,0,0,0,0,0,0,0,105.2,59.6,5.1,0,0,0,0,0,0,0
Syria,2021,34.802075,38.996815,0,0,0,0,0,0,0,0,81.7,40.1,1.5,0,0,0,0,0,0,0
Tajikistan,2021,38.861034,71.276093,99,98,95,93,80,63,0,0,100.9,31.3,4.2,197,188,143,0,0.98989899,0.978947368,0.7875
Tanzania,2021,6.369028,34.888822,75,84,31,27,32,27,0,0,94.2,4,2.8,159,58,59,0,1.12,0.870967742,0.84375
Timor-Leste,2021,8.874217,125.727539,77,85,63,70,49,55,82,85,115.3,17.8,2.2,162,133,104,167,1.103896104,1.111111111,1.12244898
Togo,2021,8.619543,0.824782,83,76,55,39,31,12,0,0,123.8,14.5,3.8,159,94,43,0,0.915662651,0.709090909,0.387096774
Tonga,2021,21.178986,175.198242,98,99,65,76,45,56,99,100,116.3,6.4,7.7,197,141,101,199,1.010204082,1.169230769,1.244444444
Trinidad and Tobago,2021,10.691803,61.222503,0,0,0,0,0,0,0,0,106.2,12,5.1,0,0,0,0,0,0,0
